# Exchange addresses from proof-of-reserves, blockchain forensics, address clustering, and rich list labels
# Generated: 2026-03-11
#
# Sources:
#   walletexplorer-cluster: Public address clustering data (Bitfinex, OKCoin, Bitcoin.de, CoinJar, Xapo, BitPay, Korbit, Bitso, CaVirtEx, Cryptsy, BleuTrade, BTCC)
#   bitinfocharts-richlist: Public rich list labeled addresses (Gate.io, OKX, BitMEX, Crypto.com)
#   blockchain-forensics: Known forensic addresses from KuCoin 2020 hack, Bitfinex 2016 hack recovery
#
address,entity,source
1Caw4AMmX2ACztRxuP4K5dWybMSqkyQQfk,Bitcoin.de,walletexplorer-cluster
1FamuE3oRM6vT3rGYbYKtrTQFZF8gukBSf,Bitcoin.de,walletexplorer-cluster
1GNjdhN4JPhA2RfDiCEBAE9fKzE4MJZSFy,Bitcoin.de,walletexplorer-cluster
1HzoVgU9No93WwbNgwXHeMdD5NGjioCt7K,Bitcoin.de,walletexplorer-cluster
1JJCmLaMe6MZX47h25cG5cGxPTYZ8XFm5Y,Bitcoin.de,walletexplorer-cluster
1JbC68vpWNyXNtDGxWtqP518R5voqeTrLA,Bitcoin.de,walletexplorer-cluster
1JjDF8ht3VN5B5scDiWzVvmkfLeMVhTiX2,Bitcoin.de,walletexplorer-cluster
1K6jkrNa6FuEfXFz2Sf3pVMQRxykDEX2Ev,Bitcoin.de,walletexplorer-cluster
1KNVVNAfWCwijmi1X8oRuxEhNUP2QzQgCF,Bitcoin.de,walletexplorer-cluster
1KgQUQjqwddMdQWK87oR9KjN7Hm2t1w3vx,Bitcoin.de,walletexplorer-cluster
1Koy2zA93VgZT2sr2v13tLZ6HDWWcePECj,Bitcoin.de,walletexplorer-cluster
1MG3fJ2GFqJn4Hj4DzbZY9EMbQrxahxYWZ,Bitcoin.de,walletexplorer-cluster
1Nk2UNED12CFTPvzETunF4tdjiqS5HTsWv,Bitcoin.de,walletexplorer-cluster
1PEG84KWeSDcDBExhgo5ngEQNybohu3PDz,Bitcoin.de,walletexplorer-cluster
1PQYBt8VATUZiMGQw9rEVNLLJUpZGVykjw,Bitcoin.de,walletexplorer-cluster
1PfKVhtfKtsJC6914PP8a2HTjEKEJRbq5F,Bitcoin.de,walletexplorer-cluster
1PfZSv4bXEponpy99kXskKyVg7EdxQFcUG,Bitcoin.de,walletexplorer-cluster
1bz9Vp1vVhpH36ujjCULer5syar8AWt31,Bitcoin.de,walletexplorer-cluster
32Hgbz12HzPLes2L9wQNnu6epXMgDxeMvL,Bitcoin.de,walletexplorer-cluster
32nDpW3JxJ2hDHtFN3G9ZKneCJDqqecRSK,Bitcoin.de,walletexplorer-cluster
337pZwtgmm2PnAXjDpsp6nJ6PqFEuyceNV,Bitcoin.de,walletexplorer-cluster
339TKGwDLDdwvrR7xcYsM5GkY1HpWeGNPf,Bitcoin.de,walletexplorer-cluster
33HuMKdvcmzkcneV1USTcZVJqpkB2VBCd9,Bitcoin.de,walletexplorer-cluster
